,recommender_model,unique_name,hits,out of,data_context,accuracy,precision,recall,failures,users on test,users on train,unique_product_count,duration
0,WordVec,_games_v2_t6_p12,2819,15689,games,0.17968003059468418,1.0,0.17968003059468418,8539,24228,96909,2274,68.17931532859802
1,TitleWordVec,_games_v2_t6_p12,186,2695,games,0.06901669758812616,1.0,0.06901669758812616,21533,24228,96909,2274,48.45916223526001
2,KNN Basic,_games_v2_t6_p12,1766,15689,games,0.1125629421887947,1.0,0.1125629421887947,8539,24228,96909,2274,189.3163857460022
3,KNN With Means,_games_v2_t6_p12,1768,15689,games,0.11269042003951814,1.0,0.11269042003951814,8539,24228,96909,2274,168.02092933654785
4,KNN With ZScore,_games_v2_t6_p12,1749,15689,games,0.11147938045764548,1.0,0.11147938045764548,8539,24228,96909,2274,178.70304679870605
5,KNN With Means,_games_v2_t6_p12,1768,15689,games,0.11269042003951814,1.0,0.11269042003951814,8539,24228,96909,2274,166.58303880691528
6,Matrix Basic,_games_v2_t6_p12,1201,15689,games,0.0765504493594238,1.0,0.0765504493594238,8539,24228,96909,2274,143.3090009689331
7,SVD Factorization,_games_v2_t6_p12,1149,15689,games,0.07323602524061444,1.0,0.07323602524061444,8539,24228,96909,2274,142.76526474952698
8,SVD PP Matrix Factorization,_games_v2_t6_p12,1172,15689,games,0.07470202052393396,1.0,0.07470202052393396,8539,24228,96909,2274,145.67499995231628
9,NMF Matrix Factorization,_games_v2_t6_p12,1205,15689,games,0.07680540506087068,1.0,0.07680540506087068,8539,24228,96909,2274,147.08501935005188
10,Slope One Recommender,_games_v2_t6_p12,1194,15689,games,0.07610427688189177,1.0,0.07610427688189177,8539,24228,96909,2274,140.8250014781952
11,Slope One Recommender,_games_v2_t6_p12,1171,15689,games,0.07463828159857225,1.0,0.07463828159857225,8539,24228,96909,2274,150.156001329422
12,WordVec,_movies_v2_t6_p12,0,2,movies,0.0,0.0,0.0,0,2,8,5072,2.5110020637512207
13,TitleWordVec,_movies_v2_t6_p12,1,2,movies,0.5,1.0,0.5,0,2,8,5072,0.37000012397766113
14,KNN Basic,_movies_v2_t6_p12,0,0,movies,,0.0,0.0,2,2,8,5072,0.029999732971191406
15,KNN With Means,_movies_v2_t6_p12,0,0,movies,,0.0,0.0,2,2,8,5072,0.028006553649902344
16,KNN With ZScore,_movies_v2_t6_p12,0,0,movies,,0.0,0.0,2,2,8,5072,0.040000200271606445
17,KNN With Means,_movies_v2_t6_p12,0,0,movies,,0.0,0.0,2,2,8,5072,0.0280001163482666
18,Matrix Basic,_movies_v2_t6_p12,0,0,movies,,0.0,0.0,2,2,8,5072,0.0480191707611084
19,SVD Factorization,_movies_v2_t6_p12,0,0,movies,,0.0,0.0,2,2,8,5072,0.046999216079711914
20,SVD PP Matrix Factorization,_movies_v2_t6_p12,0,0,movies,,0.0,0.0,2,2,8,5072,0.10402083396911621
21,NMF Matrix Factorization,_movies_v2_t6_p12,0,0,movies,,0.0,0.0,2,2,8,5072,0.06500053405761719
22,Slope One Recommender,_movies_v2_t6_p12,0,0,movies,,0.0,0.0,2,2,8,5072,0.04600667953491211
23,Slope One Recommender,_movies_v2_t6_p12,0,0,movies,,0.0,0.0,2,2,8,5072,0.07400989532470703
