,recommender_model,unique_name,hits,out of,data_context,accuracy,precision,recall,failures,users on test,users on train,unique_product_count,duration,f1,mae,mse,r2
0,WordVec,_games_v3_t49_p98,77,138,games,0.5579710144927537,1.0,0.5579710144927537,0,138,548,1574,0.9560000896453857,0.7162790697674418,0.4420289855072464,0.4420289855072464,0.0
1,TitleWordVec,_games_v3_t49_p98,69,138,games,0.5,1.0,0.5,0,138,548,1574,0.5799999237060547,0.6666666666666666,0.5,0.5,0.0
2,TitleWordVecV2,_games_v3_t49_p98,9,121,games,0.0743801652892562,1.0,0.0743801652892562,17,138,548,1574,65.80434131622314,0.13846153846153847,0.9256198347107438,0.9256198347107438,0.0
3,KNN Basic,_games_v3_t49_p98,20,138,games,0.14492753623188406,1.0,0.14492753623188406,0,138,548,1574,33.31200075149536,0.25316455696202533,0.855072463768116,0.855072463768116,0.0
4,KNN With Means,_games_v3_t49_p98,27,138,games,0.1956521739130435,1.0,0.1956521739130435,0,138,548,1574,34.38099694252014,0.32727272727272727,0.8043478260869565,0.8043478260869565,0.0
5,KNN With ZScore,_games_v3_t49_p98,25,138,games,0.18115942028985507,1.0,0.18115942028985507,0,138,548,1574,34.14200019836426,0.3067484662576687,0.8188405797101449,0.8188405797101449,0.0
6,KNN With Means,_games_v3_t49_p98,27,138,games,0.1956521739130435,1.0,0.1956521739130435,0,138,548,1574,34.96909022331238,0.32727272727272727,0.8043478260869565,0.8043478260869565,0.0
7,Matrix Basic,_games_v3_t49_p98,57,138,games,0.41304347826086957,1.0,0.41304347826086957,0,138,548,1574,29.00411868095398,0.5846153846153846,0.5869565217391305,0.5869565217391305,0.0
8,SVD Factorization,_games_v3_t49_p98,52,138,games,0.37681159420289856,1.0,0.37681159420289856,0,138,548,1574,29.157779455184937,0.5473684210526316,0.6231884057971014,0.6231884057971014,0.0
9,SVD PP Matrix Factorization,_games_v3_t49_p98,52,138,games,0.37681159420289856,1.0,0.37681159420289856,0,138,548,1574,38.6126663684845,0.5473684210526316,0.6231884057971014,0.6231884057971014,0.0
10,NMF Matrix Factorization,_games_v3_t49_p98,56,138,games,0.4057971014492754,1.0,0.4057971014492754,0,138,548,1574,29.70543122291565,0.5773195876288659,0.5942028985507246,0.5942028985507246,0.0
11,Slope One Recommender,_games_v3_t49_p98,57,138,games,0.41304347826086957,1.0,0.41304347826086957,0,138,548,1574,33.14123606681824,0.5846153846153846,0.5869565217391305,0.5869565217391305,0.0
12,Co Clustering Recommender,_games_v3_t49_p98,59,138,games,0.427536231884058,1.0,0.427536231884058,0,138,548,1574,30.42630362510681,0.5989847715736041,0.572463768115942,0.572463768115942,0.0
13,WordVec,_books_v3_t45_p90,63,104,books,0.6057692307692307,1.0,0.6057692307692307,0,104,414,855,0.4890017509460449,0.7544910179640718,0.3942307692307692,0.3942307692307692,0.0
14,TitleWordVec,_books_v3_t45_p90,55,104,books,0.5288461538461539,1.0,0.5288461538461539,0,104,414,855,0.421004056930542,0.6918238993710691,0.47115384615384615,0.47115384615384615,0.0
15,TitleWordVecV2,_books_v3_t45_p90,19,94,books,0.20212765957446807,1.0,0.20212765957446807,10,104,414,855,65.45230174064636,0.336283185840708,0.7978723404255319,0.7978723404255319,0.0
16,KNN Basic,_books_v3_t45_p90,28,104,books,0.2692307692307692,1.0,0.2692307692307692,0,104,414,855,145.52606987953186,0.42424242424242425,0.7307692307692307,0.7307692307692307,0.0
17,KNN With Means,_books_v3_t45_p90,28,104,books,0.2692307692307692,1.0,0.2692307692307692,0,104,414,855,145.3089370727539,0.42424242424242425,0.7307692307692307,0.7307692307692307,0.0
18,KNN With ZScore,_books_v3_t45_p90,28,104,books,0.2692307692307692,1.0,0.2692307692307692,0,104,414,855,144.921635389328,0.42424242424242425,0.7307692307692307,0.7307692307692307,0.0
19,KNN With Means,_books_v3_t45_p90,28,104,books,0.2692307692307692,1.0,0.2692307692307692,0,104,414,855,142.99919176101685,0.42424242424242425,0.7307692307692307,0.7307692307692307,0.0
20,Matrix Basic,_books_v3_t45_p90,30,104,books,0.28846153846153844,1.0,0.28846153846153844,0,104,414,855,134.1284613609314,0.44776119402985076,0.7115384615384616,0.7115384615384616,0.0
21,SVD Factorization,_books_v3_t45_p90,28,104,books,0.2692307692307692,1.0,0.2692307692307692,0,104,414,855,133.69571995735168,0.42424242424242425,0.7307692307692307,0.7307692307692307,0.0
22,SVD PP Matrix Factorization,_books_v3_t45_p90,34,104,books,0.3269230769230769,1.0,0.3269230769230769,0,104,414,855,146.67800998687744,0.4927536231884058,0.6730769230769231,0.6730769230769231,0.0
23,NMF Matrix Factorization,_books_v3_t45_p90,29,104,books,0.27884615384615385,1.0,0.27884615384615385,0,104,414,855,133.77682209014893,0.43609022556390975,0.7211538461538461,0.7211538461538461,0.0
24,Slope One Recommender,_books_v3_t45_p90,21,104,books,0.20192307692307693,1.0,0.20192307692307693,0,104,414,855,136.8410005569458,0.336,0.7980769230769231,0.7980769230769231,0.0
25,Co Clustering Recommender,_books_v3_t45_p90,19,104,books,0.18269230769230768,1.0,0.18269230769230768,0,104,414,855,132.8270001411438,0.3089430894308943,0.8173076923076923,0.8173076923076923,0.0
26,WordVec,_movies_v3_t25_p50,49,120,movies,0.4083333333333333,1.0,0.4083333333333333,0,120,478,2563,3.231999635696411,0.5798816568047337,0.5916666666666667,0.5916666666666667,0.0
27,TitleWordVec,_movies_v3_t25_p50,72,120,movies,0.6,1.0,0.6,0,120,478,2563,0.6754310131072998,0.75,0.4,0.4,0.0
28,TitleWordVecV2,_movies_v3_t25_p50,5,114,movies,0.043859649122807015,1.0,0.043859649122807015,6,120,478,2563,63.580190896987915,0.08403361344537816,0.956140350877193,0.956140350877193,0.0
29,KNN Basic,_movies_v3_t25_p50,26,120,movies,0.21666666666666667,1.0,0.21666666666666667,0,120,478,2563,89.99699974060059,0.3561643835616438,0.7833333333333333,0.7833333333333333,0.0
30,KNN With Means,_movies_v3_t25_p50,27,120,movies,0.225,1.0,0.225,0,120,478,2563,92.96352934837341,0.3673469387755102,0.775,0.775,0.0
31,KNN With ZScore,_movies_v3_t25_p50,26,120,movies,0.21666666666666667,1.0,0.21666666666666667,0,120,478,2563,95.20197582244873,0.3561643835616438,0.7833333333333333,0.7833333333333333,0.0
32,KNN With Means,_movies_v3_t25_p50,27,120,movies,0.225,1.0,0.225,0,120,478,2563,95.21611166000366,0.3673469387755102,0.775,0.775,0.0
33,Matrix Basic,_movies_v3_t25_p50,34,120,movies,0.2833333333333333,1.0,0.2833333333333333,0,120,478,2563,77.87652087211609,0.44155844155844154,0.7166666666666667,0.7166666666666667,0.0
34,SVD Factorization,_movies_v3_t25_p50,41,120,movies,0.3416666666666667,1.0,0.3416666666666667,0,120,478,2563,77.69511294364929,0.5093167701863354,0.6583333333333333,0.6583333333333333,0.0
35,SVD PP Matrix Factorization,_movies_v3_t25_p50,39,120,movies,0.325,1.0,0.325,0,120,478,2563,140.01034283638,0.49056603773584906,0.675,0.675,0.0
36,NMF Matrix Factorization,_movies_v3_t25_p50,22,120,movies,0.18333333333333332,1.0,0.18333333333333332,0,120,478,2563,78.27032780647278,0.30985915492957744,0.8166666666666667,0.8166666666666667,0.0
37,Slope One Recommender,_movies_v3_t25_p50,32,120,movies,0.26666666666666666,1.0,0.26666666666666666,0,120,478,2563,92.58276677131653,0.42105263157894735,0.7333333333333333,0.7333333333333333,0.0
38,Co Clustering Recommender,_movies_v3_t25_p50,38,120,movies,0.31666666666666665,1.0,0.31666666666666665,0,120,478,2563,79.16914868354797,0.4810126582278481,0.6833333333333333,0.6833333333333333,0.0
